;;;MAT;;;;;;WAPLS;;;;;;CREST;;;;;;;;;;;
SiteNumber;SiteName;Age Cal BP;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma_Pos;TANN_Sigma_Neg;Sigma;MTWA;MTWA_Sigma_Pos;MTWA_Sigma_Neg;Sigma;MTCO;MTCO_Sigma_Pos;MTCO_Sigma_Neg;Sigma
4;Lesvos ML01 Megali Limni;24785;4,425852336;3,766077664;1,791541011;6,002671575;-12,3280893;6,266008804;1,922971734;3,974731401;21,2660088;1,922971734;-13,20845899;6,002671575;8,163798946;-1,885942971;18,22811406;10,04974192;20,7394607;19,11255628;22,36418209;1,626904417;-13,95000617;-18,3911956;-9,494747374;4,441189427
4;Lesvos ML01 Megali Limni;26837;-1,665924529;2,74648496;2,910559127;6,001840277;-20,06125577;3,203603429;2,569939643;3,974579447;18,20360343;2,569939643;-12,08944087;6,001840277;6,185253345;-4,51925963;16,88344172;10,70451298;19,82802304;18,46223112;21,2136068;1,365791929;-12,63571575;-17,32666333;-7,973986993;4,690947586
5;Ioannina;19036;7,293803312;2,682273287;12,14418812;5,997739023;-5,626988848;4,22180755;7,860870849;3,972025357;19,22180755;7,860870849;-2,855811884;5,997739023;14,02470945;9,179589795;18,87243622;4,845119655;22,35803006;21,41370685;23,28964482;0,944323207;5,836875038;4,724362181;6,929464732;1,112512857
5;Ioannina;19227,8;8,042189059;2,893800863;12,43647137;5,998613607;-2,616630117;4,019009802;8,457606327;3,972658874;19,0190098;8,457606327;-2,563528633;5,998613607;12,2250493;5,229614807;19,2086043;6,995434493;22,14354792;21,33866933;22,93946973;0,804878581;5,946866593;5,028514257;6,891445723;0,918352335
5;Ioannina;19409;8,835414196;2,866851391;12,96983997;5,997726647;-1,485075076;4,368462565;8,506885176;3,972053058;19,36846257;8,506885176;-2,030160027;5,997726647;13,02435079;6,546273137;19,51675838;6,478077653;22,55749321;21,73886943;23,38969485;0,818623778;5,421857283;4,382191096;6,435217609;1,039666188
5;Ioannina;19483,6;7,648769704;2,309222087;12,79451321;5,997551956;-1,628357843;3,375738745;8,076620686;3,971879773;18,37573875;8,076620686;-2,205486793;5,997551956;12,48179436;5,957978989;18,98449225;6,523815371;22,50088067;21,6138069;23,38969485;0,887073765;5,166035552;4,002001001;6,35917959;1,164034551
5;Ioannina;19941,9;9,472266408;2,571038175;13,18293715;5,997838654;-1,178568284;4,367873052;8,582190189;3,972093639;19,36787305;8,582190189;-1,817062853;5,997838654;12,92253282;6,602301151;19,26463232;6,320231669;22,27609245;21,43871936;23,08954477;0,837373092;5,955955967;5,028514257;6,891445723;0,92744171
5;Ioannina;20005,8;9,472266408;2,770351538;12,52759019;5,998027891;-1,178568284;4,099099562;8,307729606;3,972108774;19,09909956;8,307729606;-2,472409811;5,998027891;13,14488863;7,050525263;19,26463232;6,094363367;22,21833587;21,41370685;23,01450725;0,804629019;5,891028993;4,952476238;6,815407704;0,938552755
5;Ioannina;20314,9;9,472266408;2,677499246;12,80710387;5,997803422;-1,178568284;4,597556112;8,341848005;3,971996037;19,59755611;8,341848005;-2,192896125;5,997803422;12,93252777;6,182091046;19,65682841;6,750436724;22,18233882;21,28864432;23,06453227;0,893694494;5,807687222;4,724362181;6,891445723;1,083325041
5;Ioannina;20741,2;8,957406517;3,174665584;11,51900715;5,998075111;-0,816669385;5,455366488;7,548378311;3,972199445;20,45536649;7,548378311;-3,480992851;5,998075111;12,32642062;5,033516758;19,6008004;7,292903862;22,25308892;21,31365683;23,1895948;0,939432094;5,793495792;4,648324162;6,929464732;1,14517163
5;Ioannina;21167,5;8,957406517;2,770044175;11,68845625;5,997730956;-0,816669385;3,838363946;7,458638395;3,972043845;18,83836395;7,458638395;-3,311543748;5,997730956;12,84366386;5,593796898;20,10505253;7,249866962;22,59193183;21,66383192;23,51475738;0,928099918;4,701040774;3,469734867;5,940970485;1,231305906
5;Ioannina;21647,1;6,149483881;2,584517298;11,83425584;5,998004518;-7,049492518;4,021837607;8,033456545;3,972230764;19,02183761;8,033456545;-3,165744161;5,998004518;13,07821421;7,386693347;18,76038019;5,691520863;22,25280228;21,41370685;23,08954477;0,839095424;5,971105087;5,028514257;6,929464732;0,94259083
5;Ioannina;21913,5;10,64173712;2,767379008;11,59071002;5,997821245;1,04286174;3,692435931;7,437001935;3,971985669;18,69243593;7,437001935;-3,409289976;5,997821245;12,50311596;5,397698849;19,62881441;7,105417111;22,56589891;21,73886943;23,41470735;0,827029473;5,255425942;4,154077039;6,32116058;1,101348903
5;Ioannina;22030,8;4,909328322;4,072960345;12,42669902;5,999401691;-8,232542276;6,387361877;8,367475378;3,973352979;21,38736188;8,367475378;-2,573300984;5,999401691;12,87025693;5,257628814;20,49724862;7,612628116;22,35976251;21,38869435;23,33966983;0,97106816;5,680088797;4,496248124;6,891445723;1,183840673
5;Ioannina;22180;10,64173712;3,111738985;12,22681254;5,997636955;1,04286174;5,246712398;7,715959176;3,971959078;20,2467124;7,715959176;-2,773187458;5,997636955;11,85766655;4,669334667;19,06853427;7,188331883;22,47005035;21,28864432;23,63981991;1,181406029;5,002306121;3,507753877;6,511255628;1,494552244
5;Ioannina;22286,6;7,916143875;4,320490782;10,10795285;5,998028953;-5,671513756;6,709294169;6,522496911;3,972252717;21,70929417;6,522496911;-4,892047146;5,998028953;11,71719887;3,968984492;19,48874437;7,748214378;22,25326097;21,26363182;23,23961981;0,989629149;5,696111663;4,496248124;6,891445723;1,199863539
5;Ioannina;22382,5;10,64173712;3,315603613;11,61425645;5,997889952;1,04286174;5,504430537;7,485293008;3,972007095;20,50443054;7,485293008;-3,385743551;5,997889952;12,54153604;5,173586793;19,90895448;7,367949247;22,6227679;21,73886943;23,51475738;0,88389847;4,800525308;3,621810905;6,017008504;1,178714402
