Place;Deg_Lon;Deg_Lat;altitude;Biome;TANN;PANN;MTCO;MTWA
Bakker_b28;30,5998;37,55323333;1350;TAIG;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b29;30,65663333;37,62728333;837;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b3;30,4737;37,64191667;1453;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b30;30,50326667;37,63476667;1239;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b31;30,65485;37,63373333;1270;WAMX;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b32;30,6594;37,6289;1348;WAMX;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b33;30,65576667;37,62943333;1400;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b34;30,65711667;37,62881667;1232;WAMX;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b35;30,66003333;37,63758333;1400;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b36;30,49423333;37,67836667;1040;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b37;30,55616667;37,58613333;1036;XERO;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b38;30,55986667;37,58135;1254;CLMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b39;30,54671667;37,59021667;1244;XERO;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b4;30,51635;37,671017;1356;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b40;30,39943333;37,58123333;1056;XERO;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b41;30,40401667;37,58548333;1369;XERO;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b42;30,40216667;37,58045;1020;WAMX;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b43;30,4037;37,58188333;1020;PION;9,758345221;799,1766384;0,655050496;19,35021528
Bakker_b44;30,34693333;37,61971667;1020;WAMX;10,67656489;716,2981144;1,308772067;20,47331174
Bakker_b45;30,33643333;37,61971667;1215;WAMX;10,67656489;716,2981144;1,308772067;20,47331174
Bakker_b46;30,51018333;37,65943333;1215;WAST;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b47;30,5306;37,6806;1215;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b48;30,50373333;37,67705;1215;TEDE;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b49;30,52738333;37,67708333;1150;XERO;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b5;30,49736667;37,63671667;1150;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b50;30,57835;37,55293333;1404;TAIG;11,52920011;940,1871242;1,982149879;21,5954539
